"","AddresseeAffiliation","AuthorName","Keyword","MimeType","LicenseNumber","AuthorAffiliation","CaseReferenceNumber","DocumentType","DocketNumber","CompoundDocumentState","EstimatedPageCount","ContentSize","DocumentTitle","AccessionNumber","PublishDatePARS","DocumentDate","URI","AddresseeName","DocumentReportNumber","DateDocketed","PackageNumber"
"24",NA,NA,"lag, nxp, Retrofit, TIFF converted to PDF 11/16/2005","application/pdf",NA,"- No Known Affiliation",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","1","91,502","Deficiency correspondence - Failure of Electrical Breaker Operating  Linkage a Westinghouse Type EH, 480-volt 3-phase breaker.","ML020500007","12/27/2002 08:18 AM EST",1993-09-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B1B49F99D-F2CF-4964-9ABC-D0FB02C1E904%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Deficiency correspondence - Failure of Electrical Breaker Operating  Linkage a Westinghouse Type EH, 480-volt 3-phase breaker.",NA,NA,NA,NA
"25","NRC/NRR","Rongione C J","lag, nxp, OARC20071102MAB8, Retrofit, TIFF converted to PDF 11/16/2005","application/pdf",NA,"Fischer & Porter, Inc",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","1","43,218","Deficiency Correspondence from Fischer & Porter to inform of a deviation that has been found in the testing of Clamp-On Ultrasonic Flowmeter on 12"" SCH 40 Carbon steel pipe using water.","ML020500006","12/27/2002 08:18 AM EST",1993-11-01,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BB1476785-CFDC-4321-A450-62CE792E6AA4%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Deficiency Correspondence from Fischer & Porter to inform of a deviation that has been found in the testing of Clamp-On Ultrasonic Flowmeter on 12"" SCH 40 Carbon steel pipe using water.",NA,NA,NA,NA
"26",NA,NA,"JRR3, lag, Retrofit, TIFF converted to PDF 11/16/2005","application/pdf",NA,"NRC/NRR","QUAD-6-91-003","Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","2","78,815","Deficiency Correspondence NUPIPE-II User Bulletin Quad-6-91-003.","ML020500077","12/31/2002 08:52 AM EST",1991-06-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B7028CFB7-C3ED-49B7-ADC2-42FB46AA241F%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Deficiency Correspondence NUPIPE-II User Bulletin Quad-6-91-003.",NA,NA,NA,NA
"27",NA,NA,"jef1, JRR3, NRR-032, Retrofit, TIFF converted to PDF 12/20/2005","application/pdf","DPR-033, DPR-068","NRC/NRR","27700","Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000259, 05000296","false ","5","223,237","Deficiency report re four 25 ton safety related water cooled air conditioning units (ACUs) at Browns Ferry units 1 & 3 have condensers designed for lower pressure than system operating pressure.","ML020870073","01/13/2003 09:50 AM EST",1994-08-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B5CE42DB2-5870-4ED7-9F54-0F1B08950B68%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Deficiency report re four 25 ton safety related water cooled air conditioning units (ACUs) at Browns Ferry units 1 & 3 have condensers designed for lower pressure than system operating pressure.",NA,NA,NA,NA
"28","NRC/NRR","Bandukwala R A","exb3, OARC20060606mjr=Changed the availability, Added the SUNSI comment and release date, oarc20060804mab8, OARC20071009MAB8, SUNSI Review Complete, tjb2","application/pdf","DPR-080, DPR-082","Flowserve Corp","+sunsimjr=200606","Letter, Part 21 Correspondence, Request for Additional Information (RAI)","05000275, 05000323","false ","203","9,889,156","Diablo Canyon - Part 21 Report Submitted 3/31/06; Response to Request for Additional Information.","ML061560557","06/06/2006 11:41 AM EDT",2006-05-25,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BE58B0B06-76ED-4DEE-A4D0-8820EFC9EAFB%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Diablo Canyon - Part 21 Report Submitted 3/31/06; Response to Request for Additional Information.","Tabatabai O",NA,NA,NA
"29","NRC/Document Control Desk, NRC/NRR","Woolard S","lcc2, nxp, OARC20070928MAB8, TIFF converted to PDF 11/08/2005","application/pdf",NA,"Engine Systems, Inc",NA,"Letter, Part 21 Correspondence",NA,"false ","7","380,291","Engine Systems, Inc. 10CFR21 Reporting of Defects and Non-Compliance - Engine Systems, Inc. Report No. 10CFR21-0083, Rev.0.","ML022200286","08/16/2002 09:41 AM EDT",2002-08-01,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B383271D0-BC86-4B9D-A37B-3A1FC0AEB7DF%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Engine Systems, Inc. 10CFR21 Reporting of Defects and Non-Compliance - Engine Systems, Inc. Report No. 10CFR21-0083, Rev.0.",NA,NA,NA,NA
"30","NRC/Document Control Desk, NRC/NRR","Woolard S","lcc2, nxp, oarc20070913wjd1, TIFF converted to PDF 11/08/2005","application/pdf",NA,"Engine Systems, Inc",NA,"Letter, Part 21 Correspondence",NA,"false ","8","251,154","Engine Systems, Inc., 10CFR21 Reporting of Defects and Non-Compliance, Report No. 10CFR21-0084, Rev 0.","ML022190534","08/16/2002 09:41 AM EDT",2002-07-31,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BACDACFF7-E87C-41CA-8FA0-81AC4DFDD9FB%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Engine Systems, Inc., 10CFR21 Reporting of Defects and Non-Compliance, Report No. 10CFR21-0084, Rev 0.",NA,"10CFR21-0084, Rev 0",NA,NA
"31","NRC/OCIO/IMD/RMB","Leachman J L","TIFF converted to PDF 12/23/2005","application/pdf",NA,"Enertech",NA,"Part 21 Correspondence",NA,"false ","21","1,430,157","Final norification of potential repcrtable condition of dedication activities perfomied by Enertech.Event retracted.","ML993400023","12/09/1999 03:33 PM EST",1999-11-30,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BF7539D34-CCAC-4947-82A1-2426FE464427%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Final norification of potential repcrtable condition of dedication activities perfomied by Enertech.Event retracted.",NA,NA,NA,NA
"32","NRC/OIS/IRSD/RFSB","Stuckey M","FOIA, nrpars, SUNSI Review Complete, utsPARS","application/pdf",NA,"MSNBC","FOIA/PA-2008-0201","FOIA/Privacy Act Request, Part 21 Correspondence",NA,"false ","1","22,609","FOIA/PA-2008-0201 - Correspondence from Sen. John McCain and/of his staff to NRC since 2004","ML081160211","05/09/2008 09:24 AM EDT",2008-04-24,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B977CE29F-2DB2-4C25-A3E5-2812D173A0C5%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=FOIA/PA-2008-0201 - Correspondence from Sen. John McCain and/of his staff to NRC since 2004",NA,NA,NA,NA
"33","NRC/Document Control Desk, NRC/NRR","Post J S","laf1, OARC20070927MAB8, tjb2","application/pdf",NA,"General Electric Co","MFN 04-100","Letter, Part 21 Correspondence",NA,"false ","5","217,162","GENE Part 21 Transfer of Information: Loose Terminal Strip, Barksdale Pressure Switch.","ML042640245","09/28/2004 08:56 AM EDT",2004-09-14,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B005367A7-D4A5-4C2D-8E5E-3BA51980231B%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=GENE Part 21 Transfer of Information: Loose Terminal Strip, Barksdale Pressure Switch.",NA,NA,NA,NA
"34","NRC/NRO","Horin B, White J, Wise R","ems2, stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"IEEE Power Engineering Society, Nuclear Power Engineering Comm, Nuclear Utility Group on Environmental Qualification (NUGEQ)",NA,"Part 21 Correspondence",NA,"false ","97","4,976,931","Industry Guidance Position Paper - Responding to the 2014 Steris 10 CFR Part 21.","ML15170A148","06/26/2015 08:05 AM EDT",2015-06-19,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B0A62E745-1A39-495F-94A5-59F488AA3E96%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Industry Guidance Position Paper - Responding to the 2014 Steris 10 CFR Part 21.",NA,NA,"06/19/2015 12:00 AM EDT",NA
"35","NRC/Document Control Desk, NRC/NRO","DePierro D","DPCautoadd, OARC20140711mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., stt, SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"CB&I",NA,"Letter, Part 21 Correspondence","05000395, 05000424, 05000425","false ","3","161,772","Interim 10 CFR Part 21 Report Regarding Deviations of Modules and Submodules Supplied for AP1000 Projects.","ML14192A039","07/11/2014 10:25 AM EDT",2014-07-03,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BF8501E44-9ADD-4146-995F-805C2C12D533%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Interim 10 CFR Part 21 Report Regarding Deviations of Modules and Submodules Supplied for AP1000 Projects.",NA,NA,NA,NA
"36","NRC/Document Control Desk, NRC/NRR","Hickey M","DPCautoadd, ems2, JEF1, OARC20150309dnd-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"CB&I",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence, Report, Miscellaneous","05200027","false ","3","117,511","Interim 10 CFR Part 21 Report Regarding Overlay Plate Mechanical Coupler Welds For V.C. Summer Unit 2 AP1000 Project.","ML15065A255","03/09/2015 11:23 AM EDT",2015-02-10,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BAA8119C4-4729-4B9F-AF96-4DC80100C98B%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Interim 10 CFR Part 21 Report Regarding Overlay Plate Mechanical Coupler Welds For V.C. Summer Unit 2 AP1000 Project.",NA,NA,NA,NA
"37","NRC/Document Control Desk, NRC/NRR","Royer B","DPCautoadd, ems2, JEF1, OARC20150902wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"ASCO Valve, Inc, Emerson Industrial Automation",NA,"Deficiency Correspondence (per 10CFR50.55e and Part 21), Part 21 Correspondence",NA,"false ","7","233,915","Interim Report - Potential Part 21 Notification.","ML15243A173","09/02/2015 03:39 PM EDT",2015-08-19,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BA6B90BC4-D3D1-46C9-960B-02B1EC6F5879%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Interim Report - Potential Part 21 Notification.",NA,NA,NA,NA
"38","NRC/Document Control Desk, NRC/NRR","MacDonald J D","DPCautoadd, ems2, OARC20131007mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., rls1, SUNSI Review Complete, utsPARS","application/pdf",NA,"Mirion Technologies (Conax Nuclear), Inc",NA,"Deficiency Report (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000244, 05000250, 05000251, 05000263, 05000266, 05000269, 05000270, 05000287, 05000301, 05000302, 05000315, 05000316","false ","5","236,715","INTERIM REPORT UPDATE For component ASME Material supplied by  Mirion Technologies (Conax Nuclear), Inc. (MTCN), as part of  Containment Electric Penetration Assemblies (EPA).","ML13277A010","10/07/2013 10:42 AM EDT",2013-09-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B1BD31C07-5177-43F1-A008-627832A4B087%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=INTERIM REPORT UPDATE For component ASME Material supplied by  Mirion Technologies (Conax Nuclear), Inc. (MTCN), as part of  Containment Electric Penetration Assemblies (EPA).",NA,NA,NA,NA
"39","NRC/Document Control Desk, NRC/NRR","Sullivan T A","dnw, laf1, oarc20060809mmn, OARC20070917MAB8","application/pdf","DPR-059","Entergy Nuclear Northeast, Entergy Nuclear Operations, Inc","JAFP-04-0182","Part 21 Correspondence","05000333","false ","5","263,489","James A. FitzPatrick Nuclear Power Plant - 10 CFR Part 21 Notification Regarding Potential GE HMA Type Auxiliary Relay Failures in Multiple Systems.","ML043280541","12/02/2004 10:31 PM EST",2004-11-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B0E5A068F-A4B9-47C4-9EEC-6CEE83011F0A%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=James A. FitzPatrick Nuclear Power Plant - 10 CFR Part 21 Notification Regarding Potential GE HMA Type Auxiliary Relay Failures in Multiple Systems.",NA,NA,NA,NA
"40","NRC/Document Control Desk, NRC/NRR","Eisenberg S R","DPCautoadd, ems2, JEF1, OARC20150126mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"National Technical Systems, Inc",NA,"Deficiency Report (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000010, 05000171, 05000206, 05000220, 05000237, 05000249, 05000254, 05000255, 05000261, 05000265, 05000266, 05000272, 05000277, 05000278, 05000280, 05000281, 05000282, 05000293, 05000298, 05000301, 05000306, 05000311, 05000313, 05000315, 05000316, 05000327, 05000328, 05000331, 05000333, 05000335, 05000338, 05000339, 05000352, 05000353, 05000354, 05000361, 05000362, 05000368, 05000389, 05000410, 05000416, 05000417, 05000424, 05000425, 05000440, 05000441, 05000454, 05000455, 05000456, 05000457, 05000458, 05000482, 05000498, 05000499","false ","4","160,584","Letter from Steven R. Eisenberg re: USNRC 10CFR Part 21 Notification.","ML15022A650","01/26/2015 02:22 PM EST",2015-01-20,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B8726F8CD-6D8D-4E95-97A1-CF0922515C83%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Letter from Steven R. Eisenberg re: USNRC 10CFR Part 21 Notification.",NA,NA,NA,NA
"41","NRC/Document Control Desk, NRC/NRR","Hampton G W","JRR3, lag, oarc20021211dnw, oarc20021212dnw, oarc20021213dnw, oarc20021216dnw, oarc20021217dnw, oarc20021218dnw, oarc20021219dnw, oarc20021223dnw, oarc20021224dnw, OARC20070829MAB8, TIFF converted to PDF 11/02/2005","application/pdf","DPR-018, DPR-029, DPR-030, DPR-031, DPR-032, DPR-037, DPR-041, DPR-043, DPR-046, DPR-051, DPR-058, DPR-064, DPR-066, DPR-067, DPR-072, DPR-074, DPR-077, DPR-079, DPR-080, DPR-082, NPF-002, NPF-003, NPF-004, NPF-007, NPF-008, NPF-009, NPF-014, NPF-016, NPF-017, NPF-022, NPF-029, NPF-030, NPF-047, NPF-062, NPF-068, NPF-072, NPF-073, NPF-077, NPF-081, NPF-087, NPF-089","Solidstate Controls, Inc","10 CFR 21","Part 21 Correspondence","05000244, 05000250, 05000251, 05000254, 05000265, 05000275, 05000280, 05000281, 05000286, 05000298, 05000302, 05000305, 05000313, 05000315, 05000316, 05000323, 05000327, 05000328, 05000334, 05000335, 05000338, 05000339, 05000346, 05000348, 05000364, 05000369, 05000370, 05000387, 05000388, 05000389, 05000412, 05000416, 05000424, 05000425, 05000445, 05000446, 05000456, 05000457, 05000458, 05000461, 05000483","false ","10","378,041","Letter from W. G. Hampton Subject:  10CFR21 Notification - Potential Defect Involving Fan Assemblies Use In Forced Air Cooled Uninterruptible Power Supply Systems.","ML021560113","06/13/2002 09:09 AM EDT",2002-05-10,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BDF34FB9B-C00A-4336-AF7C-52325F95C663%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Letter from W. G. Hampton Subject:  10CFR21 Notification - Potential Defect Involving Fan Assemblies Use In Forced Air Cooled Uninterruptible Power Supply Systems.",NA,NA,NA,NA
"42","NRC/RGN-II/DNMS/FFB","Cook A","NMSS/RGN Materials-001, oarc20020812dnw, oarc20021122dnw, oarc20060721mmn, TIFF converted to PDF 12/14/2005","application/pdf",NA,"Pensacola Testing Labs, Inc","000270","Part 21 Correspondence",NA,"false ","1","82,400","Letter informing of nuclear gauge testing at Corry Field on 02/28/01","ML010750090","03/23/2001 09:00 AM EST",2001-02-28,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B5E538D96-F6E4-4EC7-A921-3CB5488D7918%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Letter informing of nuclear gauge testing at Corry Field on 02/28/01","Kirby J H",NA,NA,NA
"43","NRC/NRR","Satterlund L L","oarc20030829dnw, TIFF converted to PDF 12/08/2005","application/pdf",NA,"Boeing Co",NA,"Part 21 Correspondence",NA,"false ","3","169,199","Letter requesting clarification regarding Part 21 error notices to NRC and customers","ML003687454","03/06/2000 09:29 AM EST",2000-02-24,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BA01320D3-8EA0-4A1B-988F-B6519A880F66%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Letter requesting clarification regarding Part 21 error notices to NRC and customers","Petrosino J J",NA,NA,NA
"44","NRC/OCIO/IMD/RMB","Maughan J I","TIFF converted to PDF 12/08/2005","application/pdf",NA,"Boeing Co","G-9000-JIM-00-012","Part 21 Correspondence",NA,"false ","6","191,118","Letter submitting errors received from former software suppliers,in accordance with reference correspondence and 10CFR21.","ML003690213","03/14/2000 09:08 AM EST",2000-03-02,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B5E7344FA-56CE-49FC-AE81-AB0FBCE1DAFE%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Letter submitting errors received from former software suppliers,in accordance with reference correspondence and 10CFR21.",NA,NA,NA,NA
"45","NRC/NRR","McConkey J","DPCautoadd, axw7, nxp, OARC20120702mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Flowserve Limitorque Actuators","47505","Part 21 Correspondence","05000456, 05000457","false ","7","264,562","Limitorque Part 21 Notification Interim Report - Potential Defective Part in SMB-0 Heavy Spring Pack.","ML12181A143","07/03/2012 01:01 PM EDT",2012-06-27,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BA945EE59-E1D0-4967-9B42-C4196B7B9457%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Limitorque Part 21 Notification Interim Report - Potential Defective Part in SMB-0 Heavy Spring Pack.",NA,NA,NA,NA
"46","NRC/Document Control Desk, NRC/NRR","Sartain M D","AOA1, DPCautoadd, jrr3, OARC20181228dnd-Modified Document Type., utsPARS","application/pdf","DPR-032, DPR-037, DPR-065, NPF-004, NPF-007","Dominion Energy Nuclear Connecticut, Inc, Dominion Energy Virginia, Virginia Electric & Power Co (VEPCO)","18-238","Letter, Part 21 Correspondence","05000280, 05000281, 05000336, 05000338, 05000339","false ","6","520,600","Millstone Power Station, Unit 2, North Anna and Surry Power Stations, Units 1 & 2 - Part 21 Report Providing Updated Anchor Darling Double Disc Gate Valve Information and Repair Status.","ML18361A580","01/07/2019 08:37 AM EST",2018-12-19,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BDF810EC3-6DE7-47B8-A710-6CDA45F4F092%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Millstone Power Station, Unit 2, North Anna and Surry Power Stations, Units 1 & 2 - Part 21 Report Providing Updated Anchor Darling Double Disc Gate Valve Information and Repair Status.",NA,NA,NA,NA
"47","NRC/Document Control Desk, NRC/NMSS","Trice K D","cxs7, EIEAutoPop, OARC20140530mtr1-Changed Availability, Added SUNSI Comment and Release Date., rls1, SUNSI Review Complete, utsPARS","application/pdf",NA,"Shaw AREVA MOX Services, LLC","DCS-NRC-000374","Deficiency Correspondence (per 10CFR50.55e and Part 21), Deficiency Report (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","07003098","false ","5","120,449","Mixed Oxide Fuel Fabrication Facility, Part 21 60-Day Interim Report Notification: Nelson Deformed Bars.","ML14148A271","05/30/2014 03:07 PM EDT",2014-05-28,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B819B8DEF-BA15-4D8F-AF90-819B8046A954%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Mixed Oxide Fuel Fabrication Facility, Part 21 60-Day Interim Report Notification: Nelson Deformed Bars.",NA,NA,NA,NA
"48","NRC/Document Control Desk, NRC/NRR","King T","lxk1, oarc20081008rbs=Removed Non-Public Pending Review-Released, changed Availability and added Date to be Released and added date to Date Reviewed for Public Release, oarc20081017lmk=Corrected docket numbers, oarc20081027lmk=Replaced with corrected copy, stt, SUNSI Review Complete, utsPARS","application/pdf",NA,"Namco Controls",NA,"Part 21 Correspondence","05000348, 05000364, 05000390, 05000391, 05000483","false ","12","397,484","NAMCO, Transmittal of 10CFR Part 21 Report - Thread Sealant Issue.","ML082800337","10/08/2008 03:05 PM EDT",2008-10-03,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BB5E1D69B-4E50-4764-B828-80B162FB02A7%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=NAMCO, Transmittal of 10CFR Part 21 Report - Thread Sealant Issue.",NA,NA,NA,NA
